Title,Authors,Conference,Cited_url,Cited_count,Year
Analyzing the Effect of Antenna Type and MAC Protocol on Wireless Ad-Hoc Network Capacity,T Spyropoulos; CS Raghavendra,USC Technical Report2006,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=17116224096806133837,5,2006
A token-based greedy chain scheduling algorithm (T-GCSA) for situation aware wireless LANs,A Spyropoulos; C Raghavendra,Proceedings; IEEE Aerospace Conference 3; 3-3,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=3313822409230504839,5,2002
Stay or switch?: Analysis and comparison of delays in cognitive radio networks with interweave and underlay spectrum access,F Mehmeti; T Spyropoulos,Proceedings of the 14th ACM International Symposium on Mobility Management …,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=8417497790286990421,4,2016
User association in over-and under-provisioned backhaul HetNets,N Sapountzis; T Spyropoulos; N Nikaein; U Salim,Eurocom Research Report; 16-318,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=11773216245796559972,4,2016
Delay analysis of epidemic schemes in sparse and dense heterogeneous contact environments,P Sermpezis; T Spyropoulos,Eurecom; Biot; France; Tech. Rep 3868,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=8174407824759570645,4,2012
Delay tolerant networks: protocols and applications,T Spyropoulos; A Vasilakos; Y Zhang,CRC press,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=1121707870973890575,4,2012
Cautious Regret Minimization: Online Optimization with Long-Term Budget Constraints,N Liakopoulos; A Destounis; G Paschos; T Spyropoulos; P Mertikopoulos,International Conference on Machine Learning; 3944-3952,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=6053265533820042967,3,2019
Low Cost Video Streaming through Mobile Edge Caching: Modelling and Optimization,L Vigneri; T Spyropoulos; C Barakat,IEEE Transactions on Mobile Computing 18 (6); 1302-1315,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=18041029299510730871,3,2018
An online sampling approach for controlled experimentation and qoe modeling,MJ Khokhar; T Spetebroot; C Barakat,2018 IEEE International Conference on Communications (ICC); 1-6,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=5007562999875570313,3,2018
Blind; Adaptive and Robust Flow Segmentation in Datacenters,F De Pellegrini; L Maggi; A Massaro; D Saucez; J Leguay; E Altman,IEEE INFOCOM 2018-IEEE Conference on Computer Communications; 10-18,https://scholar.google.fr/scholar?oi=bibs&hl=en&cites=8182392914101718940,3,2018
