nid,url,title,logo,core_id,score,rank_display,country,region,stars,guide,rank,name_for_searching_gs,org_id
295060,/universities/university-illinois-urbana-champaign,University of Illinois at Urbana-Champaign,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-illinois-at-urbana-champaign_2090_small_0.jpg"" alt=""University of Illinois at Urbana-Champaign Logo"">",2090,65.9,75,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",75,University+of+Illinois+at+Urbana-Champaign,-1
297437,/universities/rice-university,Rice University,"<img src=""https://www.topuniversities.com/sites/default/files/rice-university_524_small.jpg"" alt=""Rice University Logo"">",524,63.1,85,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",85,Rice+University,-1
294836,/universities/university-north-carolina-chapel-hill,"University of North Carolina, Chapel Hill","<img src=""https://www.topuniversities.com/sites/default/files/university-of-north-carolina-chapel-hill_424_small.jpg"" alt=""University of North Carolina, Chapel Hill Logo"">",424,62.2,90,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",90,"University+of+North+Carolina,+Chapel+Hill",-1
297570,/universities/pennsylvania-state-university,Pennsylvania State University,"<img src=""https://www.topuniversities.com/sites/default/files/pennsylvania-state-university_494_small.jpg"" alt=""Pennsylvania State University Logo"">",494,61.7,93,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",93,Pennsylvania+State+University,-1
294593,/universities/boston-university,Boston University,"<img src=""https://www.topuniversities.com/sites/default/files/boston-university_592560cf2aeae70239af4ac2_small_9.jpg"" alt=""Boston University Logo"">",63,60.5,98,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",98,Boston+University,-1
294741,/universities/ohio-state-university,The Ohio State University,"<img src=""https://www.topuniversities.com/sites/default/files/the-ohio-state-university_465_small.jpg"" alt=""The Ohio State University Logo"">",465,59.5,101,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",101,Ohio+State+University,-1
294571,/universities/university-california-davis,"University of California, Davis","<img src=""https://www.topuniversities.com/sites/default/files/university-of-california-davis_592560cf2aeae70239af4ad8_small_2.jpg"" alt=""University of California, Davis Logo"">",85,58.7,104,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",104,"University+of+California,+Davis",-1
297193,/universities/washington-university-st-louis,Washington University in St. Louis,"<img src=""https://www.topuniversities.com/sites/default/files/washington-university-in-st.-louis_668_small.jpg"" alt=""Washington University in St. Louis Logo"">",668,58.3,108,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",108,Washington+University+in+St.+Louis,-1
297485,/universities/purdue-university,Purdue University,"<img src=""https://www.topuniversities.com/sites/default/files/purdue-university_510_small.jpg"" alt=""Purdue University Logo"">",510,57.8,111,United States,North America,,"<a href=""/where-to-study/north-america/united-states/guide"" class=""guide-link"" target=""_blank"">United States</a>",111,Purdue+University,-1
294639,/universities/university-alberta,University of Alberta,"<img src=""https://www.topuniversities.com/sites/default/files/university-of-alberta_15_small_0.jpg"" alt=""University of Alberta Logo"">",15,57.3,113,Canada,North America,,"<a href=""/where-to-study/north-america/canada/guide"" class=""guide-link"" target=""_blank"">Canada</a>",113,University+of+Alberta,-1
